city,year,AQI_mean,AQI_days_with_data
Bengaluru,2015,112.57342657342657,286
Bengaluru,2016,105.58404558404558,351
Bengaluru,2017,87.12087912087912,364
Bengaluru,2018,86.30747922437673,361
Bengaluru,2019,91.6027397260274,365
Bengaluru,2020,79.71584699453553,183
Chennai,2015,148.33333333333334,276
Chennai,2016,138.56586826347305,334
Chennai,2017,104.53739612188366,361
Chennai,2018,105.4904109589041,365
Chennai,2019,102.94246575342466,365
Chennai,2020,80.25136612021858,183
Delhi,2015,297.02465753424656,365
Delhi,2016,301.36986301369865,365
Delhi,2017,256.72752808988764,356
Delhi,2018,249.15890410958903,365
Delhi,2019,232.1041095890411,365
Delhi,2020,181.672131147541,183
Hyderabad,2015,143.4191176470588,272
Hyderabad,2016,124.24035608308606,337
Hyderabad,2017,112.32960893854748,358
Hyderabad,2018,97.55616438356165,365
Hyderabad,2019,93.98082191780821,365
Hyderabad,2020,78.17486338797814,183
Mumbai,2015,,0
Mumbai,2016,,0
Mumbai,2017,,0
Mumbai,2018,102.61233480176212,227
Mumbai,2019,107.95068493150686,365
Mumbai,2020,103.56830601092896,183
